Map1,Map2,Shuffle2,Computation,Shuffle1,Reduce1,Split,Synchronization,Reduce2,Communication,Number of nodes,Amount of data (MB)
28642009701, 505498830, 870406119, 30664115337, 1940126971, 1516449939, 6962216224, 3518481, 151462, 9772754134, 1, 495.0
14765379836, 290449473, 838513581, 16364224440, 1467193630, 1308202276, 6306029908, 4958059, 245520, 8470419541, 2, 495.0
9801015985, 467541814, 1069120940, 11015770138, 1135647246, 1028143855, 6041251236, 5180549, 189467, 8107962076, 3, 495.0
8580837070, 167060713, 764878653, 9502048867, 872160584, 757148234, 5821680697, 5599099, 174674, 7390189747, 4, 495.0
6859512861, 184821707, 674540033, 7634482276, 687405043, 640405953, 5774478664, 5104456, 209683, 7136423721, 5, 495.0
5283154155, 842194041, 723238387, 6226453143, 745584714, 625360080, 5701126741, 5025852, 236616, 7115960655, 6, 495.0
4761223618, 877122125, 727758397, 5539927746, 668622913, 517133507, 5548916871, 15834976, 172427, 6945297840, 7, 495.0
4047625641, 825888238, 727698253, 5201073716, 643653184, 571188575, 5222637378, 4975485, 274505, 6399982988, 8, 495.0
3771288586, 857741816, 669511319, 4952789295, 578881419, 480577620, 5127374277, 4425401, 454503, 6095612887, 9, 495.0
3251513171, 668347139, 617863185, 4093584370, 522135989, 401632773, 5020866164, 26323126, 349233, 6013104277, 10, 495.0
